type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct
charge,[2010.       7.      27.      23.      28.       8.828],4,B0047,37,38,00038.csv,,,
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 2.0000e+00 2.9000e+01 3.7343e+01],4,B0047,38,39,00039.csv,1.3867662881727878,,
charge,[2010.       7.      28.       4.       0.      28.265],4,B0047,39,40,00040.csv,,,
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 7.0000e+00 1.0000e+00 5.7687e+01],4,B0047,40,41,00041.csv,1.3705053061420223,,
charge,[2010.       7.      28.       8.      31.      35.609],4,B0047,41,42,00042.csv,,,
discharge,[2.010e+03 7.000e+00 2.800e+01 1.100e+01 3.300e+01 1.828e+00],4,B0047,42,43,00043.csv,1.3497431114823601,,
charge,[2.010e+03 7.000e+00 2.800e+01 1.300e+01 2.000e+00 8.531e+00],4,B0047,43,44,00044.csv,,,
discharge,[2010.       7.      28.      16.       3.      39.015],4,B0047,44,45,00045.csv,1.3251533367939783,,
impedance,[2.01e+03 7.00e+00 2.80e+01 1.70e+01 3.60e+01 7.34e-01],24,B0047,45,46,00046.csv,,0.062410515179020035,0.21439323318771758
charge,[2010.       7.      28.      18.       7.      53.906],4,B0047,46,47,00047.csv,,,
impedance,[2010.       7.      28.      21.      13.      22.187],24,B0047,47,48,00048.csv,,0.058089440596035116,0.18668970409335445
discharge,[2010.     7.    28.    21.    45.    15.5],4,B0047,48,49,00049.csv,1.3111943869635805,,
charge,[2.01e+03 7.00e+00 2.80e+01 2.30e+01 1.30e+01 7.96e-01],4,B0047,49,50,00050.csv,,,
discharge,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 1.4000e+01 2.9703e+01],4,B0047,50,51,00051.csv,0,,
charge,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 5.5000e+01 5.2843e+01],4,B0047,51,52,00052.csv,,,
discharge,[2010.       7.      29.       5.      57.      18.515],4,B0047,52,53,00053.csv,1.3394234405932892,,
charge,[2010.       7.      29.       7.      27.      57.484],4,B0047,53,54,00054.csv,,,
discharge,[2010.       7.      29.      10.      29.      29.765],4,B0047,54,55,00055.csv,1.2849157142560723,,
charge,[2010.       7.      29.      11.      56.      11.593],4,B0047,55,56,00056.csv,,,
discharge,[2010.       7.      29.      14.      57.      39.921],4,B0047,56,57,00057.csv,1.281719159327807,,
impedance,[2010.      7.     29.     16.     27.     30.14],24,B0047,57,58,00058.csv,,0.06545446046217203,0.22145350055169272
charge,[2010.       7.      29.      16.      59.      23.625],4,B0047,58,59,00059.csv,,,
impedance,[2010.       7.      29.      20.       4.      55.562],24,B0047,59,60,00060.csv,,0.05889356113513966,0.20283861831236083
discharge,[2010.       7.      29.      20.      36.      49.093],4,B0047,60,61,00061.csv,1.2600051642942829,,
charge,[2.0100e+03 7.0000e+00 2.9000e+01 2.2000e+01 2.0000e+00 1.5765e+01],4,B0047,61,62,00062.csv,,,
discharge,[2.0100e+03 7.0000e+00 3.0000e+01 1.0000e+00 3.0000e+00 4.8203e+01],4,B0047,62,63,00063.csv,1.266070385993126,,
charge,[2.0100e+03 7.0000e+00 3.0000e+01 2.0000e+00 2.8000e+01 4.1125e+01],4,B0047,63,64,00064.csv,,,
discharge,[2010.       7.      30.       5.      30.      13.453],4,B0047,64,65,00065.csv,1.2413590294280803,,
charge,[2010.       7.      30.       6.      54.      35.109],4,B0047,65,66,00066.csv,,,
discharge,[2010.       7.      30.       9.      56.       7.796],4,B0047,66,67,00067.csv,1.2298873703485311,,
charge,[2010.       7.      30.      11.      19.      35.093],4,B0047,67,68,00068.csv,,,
discharge,[2010.       7.      30.      14.      21.       3.875],4,B0047,68,69,00069.csv,1.228088614506696,,
impedance,[2010.       7.      30.      15.      48.      12.125],24,B0047,69,70,00070.csv,,0.06743699845446587,0.23182146271844611
charge,[2010    7   30   16   20    6],4,B0047,70,71,00071.csv,,,
impedance,[2010.       7.      30.      19.      25.      34.984],24,B0047,71,72,00072.csv,,0.060657470418007564,0.21399678178486087
discharge,[2010.       7.      30.      19.      57.      28.859],4,B0047,72,73,00073.csv,1.2139857189070042,,
charge,[2010.       7.      30.      21.      20.      14.843],4,B0047,73,74,00074.csv,,,
discharge,[2010.       7.      31.       0.      21.      41.812],4,B0047,74,75,00075.csv,1.2173435064564189,,
charge,[2.0100e+03 7.0000e+00 3.1000e+01 1.0000e+00 4.3000e+01 5.7734e+01],4,B0047,75,76,00076.csv,,,
discharge,[2010.       7.      31.       4.      45.      24.171],4,B0047,76,77,00077.csv,1.2073445944515917,,
charge,[2010.       7.      31.       6.       7.       5.562],4,B0047,77,78,00078.csv,,,
discharge,[2010.       7.      31.       9.       8.      38.406],4,B0047,78,79,00079.csv,1.18804049227045,,
charge,[2010.       7.      31.      10.      29.      39.359],4,B0047,79,80,00080.csv,,,
discharge,[2010.       7.      31.      13.      31.       7.296],4,B0047,80,81,00081.csv,1.186304749886542,,
impedance,[2010.       7.      31.      14.      55.      48.421],24,B0047,81,82,00082.csv,,0.0701001536900913,0.22987797007523192
charge,[2010.       7.      31.      15.      27.      42.562],4,B0047,82,83,00083.csv,,,
impedance,[2010.       7.      31.      18.      33.      11.796],24,B0047,83,84,00084.csv,,0.06550718241713958,0.20355160811691492
discharge,[2010.       8.       3.      15.      52.      53.046],4,B0047,84,85,00085.csv,1.2613935471028506,,
impedance,[2010.       8.       3.      17.      20.      28.062],24,B0047,85,86,00086.csv,,0.06547504558382393,0.23692895486998544
charge,[2010.       8.       3.      17.      52.      22.375],4,B0047,86,87,00087.csv,,,
impedance,[2010.       8.       3.      20.      57.      49.484],24,B0047,87,88,00088.csv,,0.06405018284856573,0.2030937186647097
discharge,[2010.       8.       3.      21.      29.      43.953],4,B0047,88,89,00089.csv,1.2648246158850653,,
charge,[2010.       8.       3.      22.      54.      43.062],4,B0047,89,90,00090.csv,,,
discharge,[2.0100e+03 8.0000e+00 4.0000e+00 1.0000e+00 5.6000e+01 1.2734e+01],4,B0047,90,91,00091.csv,1.2466494548982199,,
charge,[2010.      8.      4.      3.     19.     23.25],4,B0047,91,92,00092.csv,,,
discharge,[2010.       8.       4.       6.      20.      57.078],4,B0047,92,93,00093.csv,1.2333924152795082,,
charge,[2010.       8.       4.       7.      43.      19.828],4,B0047,93,94,00094.csv,,,
discharge,[2010.      8.      4.     10.     44.     49.39],4,B0047,94,95,00095.csv,1.2129250072037692,,
charge,[2010.       8.       4.      12.       6.      28.531],4,B0047,95,96,00096.csv,,,
discharge,[2010.       8.       4.      15.       7.      58.828],4,B0047,96,97,00097.csv,1.1999106597943647,,
impedance,[2010.       8.       4.      16.      32.      38.906],24,B0047,97,98,00098.csv,,0.06709824474037232,0.2303958167446359
charge,[2010.       8.       4.      17.       4.      33.625],4,B0047,98,99,00099.csv,,,
impedance,[2010.       8.       4.      20.      10.       4.812],24,B0047,99,100,00100.csv,,0.0658333505063299,0.22044155106998758
discharge,[2010.     8.     4.    20.    41.    59.5],4,B0047,100,101,00101.csv,1.1902559038393383,,
charge,[2.0100e+03 8.0000e+00 4.0000e+00 2.2000e+01 2.0000e+00 3.3781e+01],4,B0047,101,102,00102.csv,,,
discharge,[2.010e+03 8.000e+00 5.000e+00 1.000e+00 4.000e+00 3.312e+00],4,B0047,102,103,00103.csv,1.1892563795455853,,
charge,[2.0100e+03 8.0000e+00 5.0000e+00 2.0000e+00 2.3000e+01 3.5171e+01],4,B0047,103,104,00104.csv,,,
discharge,[2010.       8.       5.       5.      25.       7.906],4,B0047,104,105,00105.csv,1.167069685125939,,
charge,[2010.       8.       5.       6.      44.       4.281],4,B0047,105,106,00106.csv,,,
discharge,[2010.      8.      5.      9.     45.     36.39],4,B0047,106,107,00107.csv,1.1615348403090369,,
charge,[2010.       8.       5.      11.       4.      13.765],4,B0047,107,108,00108.csv,,,
discharge,[2010.       8.       5.      14.       5.      44.828],4,B0047,108,109,00109.csv,1.1555563844349988,,
impedance,[2010.       8.       5.      15.      27.      47.125],24,B0047,109,110,00110.csv,,0.06982103693778563,0.24787176507460934
charge,[2010.       8.       5.      15.      59.      42.062],4,B0047,110,111,00111.csv,,,
impedance,[2010.       8.       5.      19.       5.      13.171],24,B0047,111,112,00112.csv,,0.06878780909118251,0.21360336620224382
discharge,[2010.       8.       5.      19.      37.       8.125],4,B0047,112,113,00113.csv,1.1488524666097713,,
charge,[2010.       8.       5.      20.      54.      47.218],4,B0047,113,114,00114.csv,,,
discharge,[2010.       8.       5.      23.      56.      22.437],4,B0047,114,115,00115.csv,1.143572986788779,,
charge,[2.0100e+03 8.0000e+00 6.0000e+00 1.0000e+00 1.3000e+01 2.8265e+01],4,B0047,115,116,00116.csv,,,
discharge,[2010.       8.       6.       4.      15.       3.234],4,B0047,116,117,00117.csv,1.1418015379428537,,
charge,[2010.       8.       6.       5.      31.      48.156],4,B0047,117,118,00118.csv,,,
discharge,[2010.      8.      6.      8.     33.     24.75],4,B0047,118,119,00119.csv,1.136058647502255,,
charge,[2010.       8.       6.       9.      49.      49.937],4,B0047,119,120,00120.csv,,,
discharge,[2010    8    6   12   51   21],4,B0047,120,121,00121.csv,1.1236364680969286,,
impedance,[2010.       8.       6.      14.      11.      12.234],24,B0047,121,122,00122.csv,,0.07117358017648434,0.23685982966743208
charge,[2010.       8.       6.      14.      43.       7.578],4,B0047,122,123,00123.csv,,,
impedance,[2010.       8.       6.      17.      48.      41.937],24,B0047,123,124,00124.csv,,0.06704245742224402,0.2239461958000678
discharge,[2010.       8.       6.      18.      20.      37.375],4,B0047,124,125,00125.csv,1.1320498900328944,,
charge,[2010.       8.       6.      19.      36.      20.187],4,B0047,125,126,00126.csv,,,
discharge,[2010.       8.       6.      22.      37.      51.968],4,B0047,126,127,00127.csv,1.1170101762158153,,
charge,[2010.      8.      6.     23.     53.     10.89],4,B0047,127,128,00128.csv,,,
discharge,[2.0100e+03 8.0000e+00 7.0000e+00 2.0000e+00 5.4000e+01 4.6296e+01],4,B0047,128,129,00129.csv,1.120043039721982,,
charge,[2010.       8.       7.       4.       9.      31.812],4,B0047,129,130,00130.csv,,,
discharge,[2010.       8.       7.       7.      11.       8.671],4,B0047,130,131,00131.csv,1.1059773445917063,,
charge,[2010.       8.       7.       8.      25.      18.796],4,B0047,131,132,00132.csv,,,
discharge,[2010.       8.       7.      11.      26.      50.984],4,B0047,132,133,00133.csv,0,,
impedance,[2010.       8.       7.      12.      32.      26.234],24,B0047,133,134,00134.csv,,0.07023260964111881,0.24323243271860617
charge,[2010.       8.       7.      13.       4.      21.953],4,B0047,134,135,00135.csv,,,
impedance,[2010.      8.      7.     16.      9.     53.89],24,B0047,135,136,00136.csv,,0.06768700346240909,0.22229050779281917
discharge,[2010.       8.      10.      15.      39.      28.921],4,B0047,136,137,00137.csv,1.1907902374762016,,
impedance,[2010.       8.      10.      17.       4.      18.343],24,B0047,137,138,00138.csv,,0.07161977998793091,0.23403724411294652
charge,[2010.       8.      10.      17.      36.      14.109],4,B0047,138,139,00139.csv,,,
impedance,[2010.       8.      10.      20.      41.      53.921],24,B0047,139,140,00140.csv,,0.07068108535338244,0.19528521622738274
discharge,[2010.      8.     10.     21.     13.     49.64],4,B0047,140,141,00141.csv,1.2012387088454022,,
charge,[2010.       8.      10.      22.      33.      31.875],4,B0047,141,142,00142.csv,,,
discharge,[2.010e+03 8.000e+00 1.100e+01 1.000e+00 3.500e+01 2.781e+00],4,B0047,142,143,00143.csv,1.1906909549024802,,
charge,[2.0100e+03 8.0000e+00 1.1000e+01 2.0000e+00 5.3000e+01 2.2453e+01],4,B0047,143,144,00144.csv,,,
discharge,[2010.       8.      11.       5.      54.      59.281],4,B0047,144,145,00145.csv,1.1764375730308343,,
charge,[2010.       8.      11.       7.      12.      27.125],4,B0047,145,146,00146.csv,,,
discharge,[2010.       8.      11.      10.      14.       4.421],4,B0047,146,147,00147.csv,1.1628110372792353,,
charge,[2010.       8.      11.      11.      31.      14.703],4,B0047,147,148,00148.csv,,,
discharge,[2010.       8.      11.      14.      32.      46.656],4,B0047,148,149,00149.csv,1.1516152840582585,,
impedance,[2010.     8.    11.    15.    53.    17.5],24,B0047,149,150,00150.csv,,0.07509561004673014,0.23858006096341283
charge,[2010.       8.      11.      16.      25.      13.593],4,B0047,150,151,00151.csv,,,
impedance,[2010.       8.      11.      19.      30.      44.109],24,B0047,151,152,00152.csv,,0.07216164396916556,0.21346805183925466
discharge,[2010.       8.      12.      12.      34.      22.109],4,B0047,152,153,00153.csv,1.1583673498348623,,
impedance,[2010    8   12   13   55   19],24,B0047,153,154,00154.csv,,0.0744699239483102,0.22881371041584014
charge,[2010.      8.     12.     14.     27.     15.14],4,B0047,154,155,00155.csv,,,
impedance,[2010.       8.      12.      17.      32.      50.875],24,B0047,155,156,00156.csv,,0.07206578369812164,0.21699657259865804
discharge,[2010.       8.      12.      18.       4.      47.218],4,B0047,156,157,00157.csv,1.1692285288386206,,
charge,[2010.       8.      12.      19.      22.      39.406],4,B0047,157,158,00158.csv,,,
discharge,[2010.       8.      12.      22.      24.      12.484],4,B0047,158,159,00159.csv,1.1588148476218465,,
charge,[2010.       8.      12.      23.      40.      56.125],4,B0047,159,160,00160.csv,,,
discharge,[2.0100e+03 8.0000e+00 1.3000e+01 2.0000e+00 4.2000e+01 3.2031e+01],4,B0047,160,161,00161.csv,1.1439588147705457,,
charge,[2010.       8.      13.       3.      58.       7.187],4,B0047,161,162,00162.csv,,,
discharge,[2010.       8.      13.       6.      59.      39.343],4,B0047,162,163,00163.csv,1.1383941068159398,,
charge,[2010.       8.      13.       8.      14.      54.843],4,B0047,163,164,00164.csv,,,
discharge,[2010.       8.      13.      11.      16.      29.328],4,B0047,164,165,00165.csv,0,,
impedance,[2010.       8.      13.      11.      55.      20.859],24,B0047,165,166,00166.csv,,0.07588155579843063,0.21716973379374443
charge,[2010.       8.      13.      12.      27.      18.593],4,B0047,166,167,00167.csv,,,
impedance,[2010.       8.      13.      15.      32.      55.359],24,B0047,167,168,00168.csv,,0.07280052727114004,0.2167410015359882
discharge,[2010.       8.      16.      10.      57.       7.937],4,B0047,168,169,00169.csv,1.2213102850395667,,
impedance,[2010.       8.      16.      12.      24.      17.453],24,B0047,169,170,00170.csv,,0.07227737714460603,0.23707482814903902
charge,[2010.       8.      16.      12.      56.      14.546],4,B0047,170,171,00171.csv,,,
impedance,[2.0100e+03 8.0000e+00 1.6000e+01 1.6000e+01 1.0000e+00 5.2046e+01],24,B0047,171,172,00172.csv,,0.07278328377782098,0.21520598666769783
discharge,[2010.       8.      16.      16.      33.      48.968],4,B0047,172,173,00173.csv,1.2031062978889062,,
charge,[2010.       8.      16.      17.      53.      19.203],4,B0047,173,174,00174.csv,,,
discharge,[2010.       8.      16.      20.      54.      56.609],4,B0047,174,175,00175.csv,1.1897147112197684,,
charge,[2010.       8.      16.      22.      13.       2.812],4,B0047,175,176,00176.csv,,,
discharge,[2.0100e+03 8.0000e+00 1.7000e+01 1.0000e+00 1.4000e+01 4.2109e+01],4,B0047,176,177,00177.csv,1.177422568842014,,
charge,[2010    8   17    2   32   20],4,B0047,177,178,00178.csv,,,
discharge,[2010.       8.      17.       5.      33.      53.718],4,B0047,178,179,00179.csv,1.158443027293818,,
charge,[2010.       8.      17.       6.      50.      25.203],4,B0047,179,180,00180.csv,,,
discharge,[2010.       8.      17.       9.      52.       5.375],4,B0047,180,181,00181.csv,1.1567087516841796,,
impedance,[2.010e+03 8.000e+00 1.700e+01 1.100e+01 1.200e+01 1.125e+00],24,B0047,181,182,00182.csv,,0.07436360239266564,0.23408631844470174
charge,[2010.       8.      17.      11.      43.      58.265],4,B0047,182,183,00183.csv,,,
impedance,[2010.       8.      17.      14.      49.      38.671],24,B0047,183,184,00184.csv,,0.07300469972093052,0.22171366635291487
discharge,[2010.       7.      21.      15.       0.      35.093],4,B0045,0,185,00185.csv,1.0819793880779518,,
impedance,[2010.       7.      21.      16.      53.      45.968],24,B0045,1,186,00186.csv,,0.07262833091140136,0.24565288003805374
charge,[2010.       7.      21.      17.      25.      40.671],4,B0045,2,187,00187.csv,,,
impedance,[2010    7   21   20   31    5],24,B0045,3,188,00188.csv,,0.06508671766814605,0.2144103420624745
discharge,[2.0100e+03 7.0000e+00 2.1000e+01 2.1000e+01 2.0000e+00 5.6984e+01],4,B0045,4,189,00189.csv,0.927952404748273,,
charge,[2010.       7.      21.      22.      38.      43.484],4,B0045,5,190,00190.csv,,,
discharge,[2.010e+03 7.000e+00 2.200e+01 1.000e+00 4.000e+01 6.218e+00],4,B0045,6,191,00191.csv,0.885193608411576,,
charge,[2010.       7.      22.       3.      14.      53.218],4,B0045,7,192,00192.csv,,,
discharge,[2010.       7.      22.       6.      16.      21.781],4,B0045,8,193,00193.csv,0.8581010699478283,,
charge,[2010.       7.      22.       7.      50.      21.625],4,B0045,9,194,00194.csv,,,
discharge,[2010.       7.      22.      10.      51.      48.203],4,B0045,10,195,00195.csv,0.8409352213456689,,
charge,[2010.       7.      22.      12.      25.       3.656],4,B0045,11,196,00196.csv,,,
discharge,[2010.       7.      22.      15.      26.      29.359],4,B0045,12,197,00197.csv,0.8245471942901911,,
impedance,[2010.       7.      22.      17.       3.       7.062],24,B0045,13,198,00198.csv,,0.07156780084491574,0.22917409664850488
charge,[2010.       7.      22.      17.      34.      59.312],4,B0045,14,199,00199.csv,,,
impedance,[2010.     7.    22.    20.    40.    25.5],24,B0045,15,200,00200.csv,,0.06496762136397431,0.2113722499969527
discharge,[2010.       7.      23.       9.      59.       8.718],4,B0045,16,201,00201.csv,0.7935960418803983,,
impedance,[2010.       7.      23.      11.      35.      36.875],24,B0045,17,202,00202.csv,,0.07085905110621606,0.22536782747057604
charge,[2010.      7.     23.     12.      7.     29.25],4,B0045,18,203,00203.csv,,,
impedance,[2010.       7.      23.      15.      12.      59.218],24,B0045,19,204,00204.csv,,0.065834534585151,0.22481998719814678
discharge,[2010.       7.      23.      15.      44.      51.671],4,B0045,20,205,00205.csv,0.8183676087159205,,
charge,[2010.       7.      23.      17.      17.      36.625],4,B0045,21,206,00206.csv,,,
discharge,[2010.       7.      23.      20.      19.       2.359],4,B0045,22,207,00207.csv,0.7977644276409412,,
charge,[2010.       7.      23.      21.      50.      50.578],4,B0045,23,208,00208.csv,,,
discharge,[2010.       7.      24.       0.      52.      14.625],4,B0045,24,209,00209.csv,0.7993777411831636,,
charge,[2.0100e+03 7.0000e+00 2.4000e+01 2.0000e+00 2.3000e+01 2.1453e+01],4,B0045,25,210,00210.csv,,,
discharge,[2010.       7.      24.       5.      24.      46.453],4,B0045,26,211,00211.csv,0.7783107440628891,,
charge,[2010.       7.      24.       6.      55.      11.046],4,B0045,27,212,00212.csv,,,
discharge,[2010    7   24    9   56   39],4,B0045,28,213,00213.csv,0.7803738231239117,,
impedance,[2010.       7.      24.      11.      30.      35.656],24,B0045,29,214,00214.csv,,0.07271611665352982,0.23728932492610438
charge,[2.010e+03 7.000e+00 2.400e+01 1.200e+01 2.000e+00 2.839e+01],4,B0045,30,215,00215.csv,,,
impedance,[2010.       7.      24.      15.       7.      54.015],24,B0045,31,216,00216.csv,,0.06633054353412862,0.22668842296884809
discharge,[2010.       7.      27.      16.      12.       5.718],4,B0045,32,217,00217.csv,0.7713058245640294,,
impedance,[2010.     7.    27.    17.    47.    10.5],24,B0045,33,218,00218.csv,,0.07379391711435068,0.23402805149171307
charge,[2010.       7.      27.      18.      19.       3.281],4,B0045,34,219,00219.csv,,,
impedance,[2010.       7.      27.      21.      24.      31.406],24,B0045,35,220,00220.csv,,0.06625716405326432,0.20403871987566008
discharge,[2010.       7.      27.      21.      56.      24.312],4,B0045,36,221,00221.csv,0.795279016979026,,
charge,[2010.       7.      27.      23.      28.       8.828],4,B0045,37,222,00222.csv,,,
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 2.0000e+00 2.9000e+01 3.7343e+01],4,B0045,38,223,00223.csv,0.7824128169919247,,
charge,[2010.       7.      28.       4.       0.      28.265],4,B0045,39,224,00224.csv,,,
discharge,[2.0100e+03 7.0000e+00 2.8000e+01 7.0000e+00 1.0000e+00 5.7687e+01],4,B0045,40,225,00225.csv,0.7649414992231182,,
charge,[2010.       7.      28.       8.      31.      35.609],4,B0045,41,226,00226.csv,,,
discharge,[2.010e+03 7.000e+00 2.800e+01 1.100e+01 3.300e+01 1.828e+00],4,B0045,42,227,00227.csv,0.7544899426779375,,
charge,[2.010e+03 7.000e+00 2.800e+01 1.300e+01 2.000e+00 8.531e+00],4,B0045,43,228,00228.csv,,,
discharge,[2010.       7.      28.      16.       3.      39.015],4,B0045,44,229,00229.csv,0.7504048978314295,,
impedance,[2.01e+03 7.00e+00 2.80e+01 1.70e+01 3.60e+01 7.34e-01],24,B0045,45,230,00230.csv,,0.07407085440337718,0.24712433453213517
charge,[2010.       7.      28.      18.       7.      53.906],4,B0045,46,231,00231.csv,,,
impedance,[2010.       7.      28.      21.      13.      22.187],24,B0045,47,232,00232.csv,,0.06777627439604476,0.22534672829210955
discharge,[2010.     7.    28.    21.    45.    15.5],4,B0045,48,233,00233.csv,0.7407258109620256,,
charge,[2.01e+03 7.00e+00 2.80e+01 2.30e+01 1.30e+01 7.96e-01],4,B0045,49,234,00234.csv,,,
discharge,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 1.4000e+01 2.9703e+01],4,B0045,50,235,00235.csv,0,,
charge,[2.0100e+03 7.0000e+00 2.9000e+01 2.0000e+00 5.5000e+01 5.2843e+01],4,B0045,51,236,00236.csv,,,
discharge,[2010.       7.      29.       5.      57.      18.515],4,B0045,52,237,00237.csv,0.7308525593793626,,
charge,[2010.       7.      29.       7.      27.      57.484],4,B0045,53,238,00238.csv,,,
discharge,[2010.       7.      29.      10.      29.      29.765],4,B0045,54,239,00239.csv,0.7287255851177903,,
charge,[2010.       7.      29.      11.      56.      11.593],4,B0045,55,240,00240.csv,,,
discharge,[2010.       7.      29.      14.      57.      39.921],4,B0045,56,241,00241.csv,0.7161023377036263,,
impedance,[2010.      7.     29.     16.     27.     30.14],24,B0045,57,242,00242.csv,,0.07553585453265253,0.22696302548798958
charge,[2010.       7.      29.      16.      59.      23.625],4,B0045,58,243,00243.csv,,,
impedance,[2010.       7.      29.      20.       4.      55.562],24,B0045,59,244,00244.csv,,0.06980563364404266,0.23139179896466652
discharge,[2010.       7.      29.      20.      36.      49.093],4,B0045,60,245,00245.csv,0.7129204834988017,,
charge,[2.0100e+03 7.0000e+00 2.9000e+01 2.2000e+01 2.0000e+00 1.5765e+01],4,B0045,61,246,00246.csv,,,
discharge,[2.0100e+03 7.0000e+00 3.0000e+01 1.0000e+00 3.0000e+00 4.8203e+01],4,B0045,62,247,00247.csv,0.7141991829499618,,
charge,[2.0100e+03 7.0000e+00 3.0000e+01 2.0000e+00 2.8000e+01 4.1125e+01],4,B0045,63,248,00248.csv,,,
discharge,[2010.       7.      30.       5.      30.      13.453],4,B0045,64,249,00249.csv,0.7190570819844222,,
charge,[2010.       7.      30.       6.      54.      35.109],4,B0045,65,250,00250.csv,,,
discharge,[2010.       7.      30.       9.      56.       7.796],4,B0045,66,251,00251.csv,0.7173975428775917,,
charge,[2010.       7.      30.      11.      19.      35.093],4,B0045,67,252,00252.csv,,,
discharge,[2010.       7.      30.      14.      21.       3.875],4,B0045,68,253,00253.csv,0.7071027496463946,,
impedance,[2010.       7.      30.      15.      48.      12.125],24,B0045,69,254,00254.csv,,0.07524063848548625,0.236067929047247
charge,[2010    7   30   16   20    6],4,B0045,70,255,00255.csv,,,
impedance,[2010.       7.      30.      19.      25.      34.984],24,B0045,71,256,00256.csv,,0.06950301630038469,0.22673458416063663
discharge,[2010.       7.      30.      19.      57.      28.859],4,B0045,72,257,00257.csv,0.703531206505542,,
